"product_id","product_name","image_id","side","generic_name","net_quantity","mrp","unit_sale_price","date_of_packing","expiry_use_by","batch_number","manufacturer_packer","country_of_origin","consumer_care","nutritional_information","veg_nonveg","overall_status","violation"
"P001","Muesli","IMG_001.jpeg","back","BREAKFAST CEREAL / Millet Muesli","500 g","₹ 381 (Incl. of all taxes)","₹ 0.76/g","07/05/2024","02/05/2025","CC6E070381","Tata Consumer Products Limited / Shrinath Rotopack Pvt. Ltd.","India","1800 108 4488 / care@tataconsumer.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P001","Muesli","IMG_003.jpeg","front","BREAKFAST CEREAL / Millet Muesli","500 g","₹ 381 (Incl. of all taxes)","₹ 0.76/g","07/05/2024","02/05/2025","CC6E070381","Tata Consumer Products Limited / Shrinath Rotopack Pvt. Ltd.","India","1800 108 4488 / care@tataconsumer.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P002","Maaza","IMG_002.jpeg","front","Mango Drink / Ready to Serve Fruit Drink","650 ml","₹50/- MRP INCL. OF ALL TAXES","₹0.06/ml","19/07/2024","03/12/2024","PAC26060-08","Moon Beverages Limited","India","1800-208-2653 / indiahelpline@coca-cola.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P002","Maaza","IMG_004.jpeg","side","Mango Drink / Ready to Serve Fruit Drink","650 ml","₹50/- MRP INCL. OF ALL TAXES","₹0.06/ml","19/07/2024","03/12/2024","PAC26060-08","Moon Beverages Limited","India","1800-208-2653 / indiahelpline@coca-cola.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P002","Maaza","IMG_006.jpeg","back","Mango Drink / Ready to Serve Fruit Drink","650 ml","₹50/- MRP INCL. OF ALL TAXES","₹0.06/ml","19/07/2024","03/12/2024","PAC26060-08","Moon Beverages Limited","India","1800-208-2653 / indiahelpline@coca-cola.com","PRESENT","PRESENT","COMPLIANT","NONE"
"P003","Ocean","IMG_005.jpeg","front","READY TO SERVE FRUIT BEVERAGE / Fruit Drink","500 ml","","","","","","Narang Group / multiple listed units","India","022-61330500 / info@oceanbeverages.in","PRESENT","PRESENT","NON_COMPLIANT","missing_mrp;missing_date"
"P003","Ocean","IMG_007.jpeg","side","READY TO SERVE FRUIT BEVERAGE / Fruit Drink","500 ml","","","","","","Narang Group / multiple listed units","India","022-61330500 / info@oceanbeverages.in","PRESENT","PRESENT","NON_COMPLIANT","missing_mrp;missing_date"
"P003","Ocean","IMG_008.jpeg","back","READY TO SERVE FRUIT BEVERAGE / Fruit Drink","500 ml","","","","","","Narang Group / multiple listed units","India","022-61330500 / info@oceanbeverages.in","PRESENT","PRESENT","NON_COMPLIANT","missing_mrp;missing_date"
"P004","Fortune","IMG_010.jpeg","front","Mustard Oil / Kachi Ghani Pure Mustard Oil","455 g","₹129.00","₹0.28/g","10JUL2026","09JUL2027","AR)KM06D191 B 21:51:56","AWL Agri Business Limited","India","1800 572 9999 / care@awl.in","PRESENT","PRESENT","COMPLIANT","NONE"
"P004","Fortune","IMG_011.jpeg","side","Mustard Oil / Kachi Ghani Pure Mustard Oil","455 g","₹129.00","₹0.28/g","10JUL2026","09JUL2027","AR)KM06D191 B 21:51:56","AWL Agri Business Limited","India","1800 572 9999 / care@awl.in","PRESENT","PRESENT","COMPLIANT","NONE"
"P004","Fortune","IMG_012.jpeg","back","Mustard Oil / Kachi Ghani Pure Mustard Oil","455 g","₹129.00","₹0.28/g","10JUL2026","09JUL2027","AR)KM06D191 B 21:51:56","AWL Agri Business Limited","India","1800 572 9999 / care@awl.in","PRESENT","PRESENT","COMPLIANT","NONE"
